Location,Latitude,Longitude,Total Incidents
Highlandtown,39.28742,-76.56343,476
Westport,39.26243,-76.6333,477
Cedonia,39.33171,-76.53373,478
Better Waverly,39.32829,-76.60813,479
Patterson Park Neighborhood,39.2919,-76.57016,480
Patterson Park Neighborhood,39.2919,-76.57016,481
Mid-Town Belvedere,39.30241,-76.61586,482
Howard Park,39.33096,-76.69447,483
Remington,39.32514,-76.62549,484
Carrollton Ridge,39.27991,-76.65285,485
Ramblewood,39.36392,-76.58678,486
Ashburton,39.33459,-76.67418,487
Sandtown-Winchester,39.30645,-76.6445,488
Woodmere,39.34457,-76.683,489
Penn-Fallsway,39.29883,-76.61042,490
Carroll - Camden Industrial Area,39.27408,-76.62769,491
Washington Hill,39.29262,-76.5964,492
Windsor Hills,39.32029,-76.68187,493
Ramblewood,39.36443,-76.5893,494
Pulaski Industrial Area,39.28776,-76.53576,495
Glenham-Belhar,39.35344,-76.56043,496
Charles North,39.31099,-76.61689,497
Curtis Bay,39.22814,-76.5903,498
Walbrook,39.31235,-76.66678,499
Millhill,39.27706,-76.65734,500
Frankford,39.33193,-76.54038,501
Biddle Street,39.30413,-76.58118,502
Mondawmin,39.31338,-76.64842,503
Winchester,39.30189,-76.66559,504
East Baltimore Midway,39.31729,-76.59814,505
Oliver,39.30531,-76.59669,506
McElderry Park,39.29743,-76.57799,507
Brooklyn,39.2317,-76.60458,508
Upton,39.29911,-76.6235,509
Oldtown,39.29727,-76.60379,510
Dunbar-Broadway,39.29759,-76.5908,511
Idlewood,39.37015,-76.58888,512
Upton,39.304,-76.63527,513
Fells Point,39.28572,-76.58789,514
Cameron Village,39.35858,-76.60061,515
Biddle Street,39.30413,-76.58118,516
Panway/Braddish Avenue,39.31235,-76.66528,517
Poppleton,39.29193,-76.63828,518
Ten Hills,39.28135,-76.69788,519
Broadway East,39.31013,-76.58934,520
Coldstream Homestead Montebello,39.32224,-76.59907,521
Frankford,39.34008,-76.53749,522
Sandtown-Winchester,39.30313,-76.64485,523
Woodberry,39.33255,-76.65107,524
Graceland Park,39.27253,-76.53116,525
Riverside,39.27248,-76.60583,526
Four By Four,39.31531,-76.57555,527
Morgan State University,39.34578,-76.58619,528
CARE,39.29651,-76.58696,529
Patterson Park Neighborhood,39.29431,-76.577,530
Edmondson Village,39.2963,-76.68397,531
Ellwood Park/Monument,39.2961,-76.57061,532
Brooklyn,39.23232,-76.60241,533
Frankford,39.32916,-76.55448,534
Clifton Park,39.31813,-76.57773,535
Mount Vernon,39.29632,-76.62002,536
Belair-Edison,39.32232,-76.5687,537
Reisterstown Station,39.35638,-76.70284,538
Washington Village/Pigtown,39.28184,-76.63,539
Washington Village/Pigtown,39.28184,-76.63,540
Brooklyn,39.23025,-76.60038,541
Panway/Braddish Avenue,39.31283,-76.66243,542
Patterson Park Neighborhood,39.29271,-76.57483,543
Patterson Park Neighborhood,39.29271,-76.57483,544
Frankford,39.33339,-76.54726,545
East Arlington,39.33164,-76.66767,546
Highlandtown,39.28838,-76.57012,547
Inner Harbor,39.28695,-76.6042,548
East Arlington,39.32875,-76.66535,549
Little Italy,39.28679,-76.6021,550
Patterson Park Neighborhood,39.29452,-76.57874,551
Patterson Park Neighborhood,39.29452,-76.57874,552
Brooklyn,39.22904,-76.59744,553
Federal Hill,39.27629,-76.61436,554
Otterbein,39.28196,-76.61476,555
Central Park Heights,39.34747,-76.67617,556
Bridgeview/Greenlawn,39.29848,-76.655,557
Mount Vernon,39.29731,-76.6206,558
Central Forest Park,39.32513,-76.68821,559
McElderry Park,39.29878,-76.58321,560
Waverly,39.33013,-76.60829,561
Biddle Street,39.30482,-76.58017,562
Carrollton Ridge,39.28101,-76.64652,563
Middle East,39.29933,-76.5852,564
Cylburn,39.34906,-76.65981,565
Cylburn,39.34906,-76.65981,566
Charles North,39.31246,-76.61803,567
Ellwood Park/Monument,39.29595,-76.57294,568
Coldspring,39.34707,-76.65817,569
Coldspring,39.34707,-76.65817,570
Riverside,39.2771,-76.60701,571
Better Waverly,39.32351,-76.6094,572
Mondawmin,39.31072,-76.6531,573
Washington Village/Pigtown,39.27856,-76.62759,574
Union Square,39.28756,-76.63838,575
Central Park Heights,39.34833,-76.67057,576
Frankford,39.33219,-76.54486,577
Hamilton Hills,39.35535,-76.5738,578
Canton,39.27719,-76.56732,579
Highlandtown,39.29036,-76.56424,580
Brooklyn,39.23824,-76.60069,581
Ellwood Park/Monument,39.29479,-76.5731,582
Mount Vernon,39.29856,-76.6172,583
Sandtown-Winchester,39.29879,-76.6469,584
Brooklyn,39.23815,-76.60977,585
Cherry Hill,39.25336,-76.62641,586
Baltimore Highlands,39.29039,-76.56484,587
Downtown,39.29421,-76.6155,588
East Baltimore Midway,39.31169,-76.60494,589
Remington,39.32325,-76.623,590
Loch Raven,39.35776,-76.58215,591
Middle East,39.29923,-76.58673,592
Downtown West,39.28623,-76.62092,593
Woodberry,39.33309,-76.64777,594
Irvington,39.2825,-76.69301,595
Kernewood,39.34602,-76.6136,596
Coppin Heights/Ash-Co-East,39.30677,-76.6549,597
Bolton Hill,39.3101,-76.62404,598
Parkview/Woodbrook,39.31461,-76.64648,599
Concerned Citizens Of Forest Park,39.3234,-76.6831,600
Broadway East,39.31023,-76.58299,601
Downtown,39.29298,-76.62119,602
Cherry Hill,39.24661,-76.63584,603
Broadway East,39.31023,-76.58299,604
Orangeville Industrial Area,39.30966,-76.5633,605
Winchester,39.30192,-76.66185,606
Violetville,39.26157,-76.66657,607
East Baltimore Midway,39.31174,-76.60396,608
Cross Country,39.36725,-76.69475,609
Cherry Hill,39.24344,-76.62641,610
Ellwood Park/Monument,39.29764,-76.57213,611
Windsor Hills,39.31922,-76.68488,612
Downtown,39.29376,-76.6136,613
Edgewood,39.29466,-76.6728,614
Upton,39.29773,-76.63107,615
Reservoir Hill,39.31363,-76.62996,616
Saint Paul,39.26724,-76.64445,617
Brooklyn,39.23449,-76.60435,618
Hamilton Hills,39.37086,-76.56494,619
Reservoir Hill,39.31663,-76.63242,620
Union Square,39.28719,-76.63945,621
Hamilton Hills,39.36318,-76.5717,622
Riverside,39.26845,-76.61182,623
Curtis Bay,39.22378,-76.58725,624
Old Goucher,39.31645,-76.61687,625
Franklin Square,39.28889,-76.64614,626
Upper Fells Point,39.29044,-76.59127,627
Belair-Edison,39.32167,-76.57352,628
West Arlington,39.34078,-76.68468,629
Milton-Montford,39.29931,-76.58094,630
Upper Fells Point,39.2867,-76.59147,631
Upper Fells Point,39.2867,-76.59147,632
Remington,39.32049,-76.6201,633
Lakeland,39.25107,-76.64487,634
New Southwest/Mount Clare,39.28347,-76.64206,635
CARE,39.29867,-76.58568,636
Oliver,39.31095,-76.59765,637
Union Square,39.28756,-76.63846,638
Reservoir Hill,39.31177,-76.63527,639
Highlandtown,39.28891,-76.56921,640
Fallstaff,39.3678,-76.70917,641
Ellwood Park/Monument,39.29916,-76.57338,642
Patterson Park Neighborhood,39.29237,-76.57322,643
Reisterstown Station,39.3547,-76.70969,644
Downtown,39.29253,-76.61012,645
Harlem Park,39.29896,-76.64023,646
Carroll - Camden Industrial Area,39.27515,-76.62403,647
Downtown,39.29045,-76.62021,648
Upton,39.30344,-76.63458,649
Upton,39.30344,-76.63458,650
Cheswolde,39.36935,-76.69242,651
Carrollton Ridge,39.28075,-76.65079,652
Glenham-Belhar,39.35362,-76.559,653
Gay Street,39.30173,-76.59782,654
